dataid,localhour,air1,	air2,	air3,	airwindowunit1,	aquarium1,	bathroom1,	bathroom2,	bedroom1,	bedroom2,	bedroom3,	bedroom4,	bedroom5,	car1,	clotheswasher1,	clotheswasher_dryg1,	diningroom1,	diningroom2,	dishwasher1,	disposal1,	drye1,	dryg1,	freezer1,	furnace1,	furnace2,	garage1,	garage2,	gen,	grid,	heater1,	housefan1,	icemaker1,	jacuzzi1,	kitchen1,	kitchen2,	kitchenapp1,	kitchenapp2,	lights_plugs1,	lights_plugs2,	lights_plugs3,	lights_plugs4,	lights_plugs5,	lights_plugs6,	livingroom1,	livingroom2,	microwave1,	office1,	outsidelights_plugs1,	outsidelights_plugs2,	oven1,	oven2,	pool1,	pool2,	poollight1,	poolpump1,	pump1,	range1,	refrigerator1,	refrigerator2,	security1,	shed1,	sprinkler1,	use,	utilityroom1,	venthood1,	waterheater1,	waterheater2,	winecooler1,water_meter_value,  gas_meter_value
2015-01-01 00:00:00-06,203,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0,0,0,0,0.00800000000000000000,0,0,0,0,0.30868333333333333333,0,0,0,0,0,0,0.05005000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.02735000000000000000,0,0,0,0,0.30868333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,1450,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251666666666666667,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00750000000000000000,0,0,0,0,1.4664666666666667,0,0,0,0,0,0,0,0.05305000000000000000,0,0,0,0,0,0,0.40441666666666666667,0,0.03100000000000000000,0,0,0,0.01303333333333333333,0,0,0,0,0,0,0,0.44913333333333333333,0,0,0,0,1.4664666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,1524,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.15478333333333333333,0,0,0,0,0.59440000000000000000,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.00500000000000000000,0,0,0,0.00860000000000000000,0,0,0,0,0,0,0,0.06136666666666666667,0,0,0,0,0.59440000000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,1731,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00381666666666666667,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.11023333333333333333,0,0,0,0,0.68976666666666666667,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.15306666666666666667,0,0.00500000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.04678333333333333333,0,0,0,0,0.68976666666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,2354,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00381666666666666667,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.10026666666666666667,0,0,0,0.00000000000000000000,0.74108333333333333333,0,0,0,0,0,0,0.00158333333333333333,0.00755000000000000000,0,0,0,0,0,0,0,0,0.01300000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74108333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,2606,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.21166666666666666667,0,0,0,0,1.01111666666666666667,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0.11725000000000000000,0,0.00500000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,1.01111666666666666667,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,3687,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218333333333333333,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.04811666666666666667,0,0,0,0,1.6259000000000000,0,0,0,0,0,0,0.00636666666666666667,0,0,0,0,0,0,0,0.87326666666666666667,0,0.00515000000000000000,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.12751666666666666667,0,0,0,0,1.6259000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,3864,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.00500000000000000000,0,0,0,0,0.12095000000000000000,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.03700000000000000000,0,0.00513333333333333333,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0.01086666666666666667,0,0,0,0,0.12095000000000000000,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,3938,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00205000000000000000,0,0,0,0.23720000000000000000,0.00000000000000000000,0,0.19156666666666666667,0,0.00000000000000000000,0,0,0,0,0.81713333333333333333,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00030000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.05568333333333333333,0,0,0,0,0.81713333333333333333,0,0,0,0,0,0,0
2015-01-01 00:00:00-06,4495,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0.00300000000000000000,0,0.00000000000000000000,0,0,0,0,0.22010000000000000000,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.08791666666666666667,0,0,0,0,0.22010000000000000000,0,0,0,0,0,0,0
