dataid,air1,"	air2","	air3","	airwindowunit1","	aquarium1","	bathroom1","	bathroom2","	bedroom1","	bedroom2","	bedroom3","	bedroom4","	bedroom5","	car1","	clotheswasher1","	clotheswasher_dryg1","	diningroom1","	diningroom2","	dishwasher1","	disposal1","	drye1","	dryg1","	freezer1","	furnace1","	furnace2","	garage1","	garage2","	gen","	grid","	heater1","	housefan1","	icemaker1","	jacuzzi1","	kitchen1","	kitchen2","	kitchenapp1","	kitchenapp2","	lights_plugs1","	lights_plugs2","	lights_plugs3","	lights_plugs4","	lights_plugs5","	lights_plugs6","	livingroom1","	livingroom2","	microwave1","	office1","	outsidelights_plugs1","	outsidelights_plugs2","	oven1","	oven2","	pool1","	pool2","	poollight1","	poolpump1","	pump1","	range1","	refrigerator1","	refrigerator2","	security1","	shed1","	sprinkler1","	utilityroom1","	venthood1","	waterheater1","	waterheater2","	winecooler1","	use"
3368,NULL,NULL,NULL,NULL,NULL,9.629583333,NULL,129.2904596,NULL,NULL,NULL,NULL,1138.655499,25.4280627,NULL,NULL,NULL,0.1374,103.2683623,552.79175,NULL,NULL,2630.281343,NULL,NULL,NULL,6472.845938,1447.593829,NULL,NULL,NULL,NULL,NULL,NULL,83.63690263,26.19297585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47.50730932,360.3839872,11.42444561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.94216394,562.2954349,NULL,NULL,NULL,NULL,NULL,NULL,605.6551711,NULL,NULL,7972.367981
4874,3675.8816,NULL,NULL,NULL,NULL,2.130116667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73.74422759,NULL,2.318816667,NULL,156.5369333,0.386816667,1030.370017,NULL,NULL,2128.596482,NULL,168.4793672,NULL,5470.879944,5663.712518,NULL,NULL,NULL,NULL,NULL,NULL,50.84748276,105.4100534,NULL,NULL,NULL,NULL,NULL,NULL,61.40621667,NULL,133.1254299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,673.835404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11161.37837
6800,NULL,NULL,NULL,NULL,NULL,0.1507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.627216667,NULL,NULL,0.0004,NULL,NULL,NULL,NULL,179.0321333,NULL,NULL,NULL,NULL,564.114,NULL,NULL,NULL,NULL,NULL,NULL,8.884983333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.59555,NULL,NULL,NULL,NULL,NULL,NULL,42.58811667,82.08208333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,564.114
9585,1.50415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.097316667,NULL,NULL,NULL,7.646316667,0.020566667,NULL,2.451883333,NULL,6.1872,NULL,NULL,NULL,NULL,229.9955333,NULL,NULL,NULL,NULL,NULL,NULL,4.036816667,5.59645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.69641667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.29596667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229.9955333
3401,4226.757838,292.7381404,272.6668249,NULL,NULL,0.196806937,16.1595973,NULL,NULL,NULL,NULL,NULL,NULL,1.191082095,NULL,NULL,NULL,133.1277607,NULL,595.2053975,NULL,28.96512192,18.00819567,825.3518476,NULL,NULL,NULL,23920.03773,NULL,NULL,1064.25156,NULL,NULL,NULL,38.42456717,44.45528258,0.900317258,13.68664322,7.407449292,NULL,403.7492006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,315.351885,NULL,NULL,NULL,NULL,3617.180506,NULL,NULL,337.1535541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23920.03773
7989,2981.406483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,242.5882074,NULL,NULL,440.6456754,NULL,NULL,NULL,7133.277213,3174.719774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116.0532485,2154.891024,NULL,NULL,NULL,NULL,0.085133333,NULL,NULL,2078.48271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346.33793
1350,302.3053167,NULL,NULL,NULL,NULL,57.18668333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.1029,NULL,NULL,NULL,91.6922,NULL,338.6145333,NULL,NULL,559.3989833,NULL,NULL,NULL,NULL,4205.631733,NULL,NULL,NULL,191.4865333,NULL,NULL,33.92098333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,743.3934833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4205.631733
6334,927.3056341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30.91783172,NULL,NULL,NULL,28.56948411,NULL,609.7692472,NULL,NULL,534.6493852,NULL,NULL,NULL,NULL,4587.829134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.81881858,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103.0223139,249.3002367,NULL,NULL,NULL,NULL,NULL,NULL,638.746246,NULL,NULL,4587.829134
5652,389.2022333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.72056667,NULL,NULL,NULL,41.2922,NULL,329.22515,NULL,NULL,135.7814333,NULL,NULL,NULL,NULL,4889.134117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64.66273333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163.1172667,363.80635,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4889.134117
4776,193.2343833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.102116667,0.1993,NULL,NULL,NULL,48.72018333,NULL,NULL,NULL,NULL,2231.59625,NULL,NULL,NULL,NULL,NULL,NULL,7.364566667,58.7711,NULL,NULL,NULL,NULL,NULL,NULL,139.9698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,331.8950667,137.8019167,NULL,NULL,NULL,NULL,NULL,NULL,1132.8009,NULL,NULL,2231.59625
